ID , Source_Name , RA , Dec , z , Rmag , Class , Flux_1GHz , Flux_143GHz , Flux_keV , Flux_Fermi
#id , Source name , RA (J2000.0) , Dec (J2000.0) , Redshift , Rmag , Source classification , Flux density 1.4/0.843GHz(mJy) , Flux density143GHz(mJy) , X-ray flux0.1-2.4 keV(1.e-12 cgs) , Fermi flux1-100 GeV(ph/cm2/s)
1 , 5BZBJ0001-0011 , 00 01 21.48 , -00 11 39.91 , 0.462 ?  , 19.6 , BL Lac , 111 , 0 , 0 , 0
2 , 5BZBJ0001-0746 , 00 01 18.0 , -07 46 26.68 , 0  , 17.9 , BL Lac , 208 , 0 , 0.35 , 5e-10
3 , 5BZBJ0002-0024 , 00 02 57.16 , -00 24 47.08 , 0.523  , 19.7 , BL Lac , 178 , 0 , 0 , 0
4 , 5BZBJ0004-1148 , 00 04 04.87 , -11 48 57.99 , 0  , 18.8 , BL Lac , 459 , 308 , 0 , 0
5 , 5BZBJ0006-0623 , 00 06 13.89 , -06 23 35.19 , 0.347  , 17.9 , BL Lac , 2051 , 1212 , 0.82 , 0
6 , 5BZBJ0007+4712 , 00 07 59.97 , +47 12 07.7 , 0.28 ?  , 18.2 , BL Lac , 60 , 0 , 0.53 , 2.1e-9
7 , 5BZBJ0008-2339 , 00 08 35.38 , -23 39 27.79 , 0.147  , 16.8 , BL Lac , 36 , 0 , 2.42 , 3e-10
8 , 5BZBJ0009+0628 , 00 09 03.91 , +06 28 21.39 , 0  , 18.9 , BL Lac , 247 , 0 , 0.55 , 5e-10
9 , 5BZBJ0009+5030 , 00 09 22.77 , +50 30 28.58 , 0  , 19.4 , BL Lac , 12 , 0 , 0.24 , 2.2e-9
10 , 5BZBJ0012-3954 , 00 12 59.87 , -39 54 25.81 , 0  , 18.9 , BL Lac , 494 , 257 , 0 , 5e-10
11 , 5BZBJ0013+1910 , 00 13 56.35 , +19 10 41.98 , 0.477  , 17.7 , BL Lac , 161 , 0 , 0 , 0
12 , 5BZBJ0014+5802 , 00 14 42.12 , +58 02 01.21 , 0  , 19 , BL Lac , 8 , 0 , 1.28 , 0
13 , 5BZBJ0014-5022 , 00 14 11.43 , -50 22 34.89 , 0  , 18.7 , BL Lac , 13 , 0 , 6.98 , 6e-10
14 , 5BZBJ0015+3536 , 00 15 27.96 , +35 36 39.59 , 0  , 19.8 , BL Lac , 11 , 0 , 1.42 , 0
15 , 5BZBJ0017+1451 , 00 17 36.89 , +14 51 01.9 , 0.303  , 17.8 , BL Lac , 59 , 0 , 0 , 0
16 , 5BZBJ0018+2947 , 00 18 27.78 , +29 47 30.8 , 0.1 ?  , 18.4 , BL Lac , 33 , 0 , 5.89 , 2e-10
17 , 5BZBJ0019+2021 , 00 19 37.84 , +20 21 45.79 , 0  , 20.3 , BL Lac , 983 , 0 , 0.17 , 7e-10
18 , 5BZBJ0019-8152 , 00 19 20.58 , -81 52 51.31 , 0  , 16.1 , BL Lac , 83 , 0 , 0.51 , 9e-10
19 , 5BZBJ0021-0900 , 00 21 42.24 , -09 00 44.31 , 0.648  , 19.3 , BL Lac , 45 , 0 , 0 , 0
20 , 5BZBJ0021-2550 , 00 21 32.53 , -25 50 49.2 , 0  , 17.5 , BL Lac , 69 , 0 , 0.18 , 9e-10
21 , 5BZBJ0022+0608 , 00 22 32.44 , +06 08 04.41 , 0  , 18.5 , BL Lac , 340 , 0 , 0.25 , 2.2e-9
22 , 5BZBJ0022-1853 , 00 22 09.27 , -18 53 34.8 , 0  , 18.6 , BL Lac , 23 , 0 , 0.69 , 9e-10
23 , 5BZBJ0022-5140 , 00 22 00.07 , -51 40 24.2 , 0  , 15.9 , BL Lac , 20 , 0 , 3.22 , 4e-10
24 , 5BZBJ0024+1602 , 00 24 01.26 , +16 02 34.0 , 0  , 18.9 , BL Lac , 57 , 0 , 0 , 0
25 , 5BZBJ0026-4601 , 00 26 35.62 , -46 01 09.69 , 0  , 17.5 , BL Lac Candidate , 38 , 0 , 8.01 , 0
26 , 5BZBJ0028+2408 , 00 28 34.2 , +24 08 08.41 , 0.373  , 18.8 , BL Lac Candidate , 70 , 0 , 0 , 0
27 , 5BZBJ0028-7045 , 00 28 41.53 , -70 45 15.8 , 0  , 16.7 , BL Lac , 94 , 0 , 0 , 7e-10
28 , 5BZBJ0030-0000 , 00 30 07.87 , -00 00 07.19 , 0  , 19.5 , BL Lac , 51 , 0 , 0 , 0
29 , 5BZBJ0032-2849 , 00 32 33.06 , -28 49 20.31 , 0.324  , 16.2 , BL Lac , 160 , 0 , 0.17 , 0
30 , 5BZBJ0033-1921 , 00 33 34.36 , -19 21 32.9 , 0  , 16.3 , BL Lac , 19 , 0 , 8.43 , 3.1e-9
31 , 5BZBJ0035+1515 , 00 35 14.7 , +15 15 04.21 , 0  , 16.8 , BL Lac , 18 , 0 , 3.02 , 1.1e-9
